Crop,Soil_Type,Season,Region,N,P,K,pH,Rainfall,Temperature,Humidity,Yield_kg_per_acre,Productivity,output
Millets,Loamy,Kharif,North,111,91,82,5.92,307.8,30.3,69.2,25.63,Moderate,1
Millets,Sandy,Kharif,West,286,160,192,7.37,400,21.1,86.5,41.32,High,1
Rice,Black,Rabi,Central,72,34,57,5.92,87.7,35.7,43.4,20.56,Low,0
Maize,Red,Zaid,East,40,46,75,5.3,71.5,32.6,42.4,25.17,Low,0
Cotton,Sandy,Kharif,West,292,126,189,6.82,357.4,19.7,87.1,39.82,High,1
Millets,Clay,Rabi,South,231,106,186,7,411.1,23,62.7,36.05,High,1
Cotton,Sandy,Zaid,Central,110,50,30,6.22,103.2,33.8,29.9,17.47,Low,0
Millets,Clay,Zaid,South,173,121,232,7.25,424.8,22.1,71.8,34.4,High,1
Maize,Loamy,Rabi,Central,187,162,202,6.58,430.7,19.8,76.8,40.33,High,1
Millets,Red,Rabi,South,265,153,271,6.7,327.4,19.5,62.5,30.83,High,1
Rice,Loamy,Rabi,West,98,102,97,6.2,255.1,28.6,47.2,29.76,Moderate,1
Cotton,Clay,Kharif,South,106,44,30,5.77,89.7,31.4,27,20.79,Low,0
Sugarcane,Sandy,Zaid,Central,139,72,170,6.16,315.7,27.1,55,31.78,Moderate,1
Sugarcane,Loamy,Zaid,East,115,61,46,6.07,118.7,30.8,38.5,26.86,Low,0
Wheat,Sandy,Zaid,North,158,106,72,6.07,168.8,26.9,70.1,33.04,Moderate,1
Cotton,Sandy,Rabi,Central,203,132,238,7.13,425,20.4,64.6,33.28,High,1
Maize,Loamy,Rabi,South,234,144,194,7.24,366.7,26.2,61.7,36.09,High,1
Rice,Loamy,Rabi,South,182,137,278,6.7,329.4,27.7,69.2,37.87,High,1
Cotton,Loamy,Zaid,Central,109,67,27,5.39,148.8,33.3,42.8,22.87,Low,0
Millets,Sandy,Kharif,East,107,101,121,6.16,300.8,26.2,53.3,27.69,Moderate,1
Cotton,Black,Zaid,East,79,56,65,6.06,70.5,34.9,26.4,19.18,Low,0
Millets,Clay,Zaid,South,228,139,253,7.37,349,23.4,78.7,40.23,High,1
Maize,Black,Rabi,North,157,51,176,6.76,260.3,24.1,66,30.95,Moderate,1
Rice,Red,Rabi,North,96,67,75,6.12,226.2,27,69,23.55,Moderate,1
Millets,Loamy,Zaid,South,55,60,72,6.02,172,35.2,40.9,19.47,Low,0
Maize,Red,Rabi,West,66,19,72,5.53,196.8,37,49.5,19.55,Low,0
Sugarcane,Red,Zaid,North,234,114,187,8.19,422.6,26.6,88.1,34.31,High,1
Sugarcane,Loamy,Rabi,North,108,110,160,6.57,274.6,31.1,72.3,31.61,Moderate,1
Maize,Black,Zaid,North,109,119,177,6.55,312.9,24.2,44,27.51,Moderate,1
Sugarcane,Clay,Kharif,South,122,109,94,6.02,310.7,26.2,51.1,23.62,Moderate,1
Millets,Black,Kharif,East,245,125,198,7.22,355,26.5,86.6,30.54,High,1
Rice,Clay,Rabi,Central,260,123,286,7.26,429,24.1,66.1,30.19,High,1
Cotton,Clay,Kharif,Central,183,162,204,7.72,417.1,19.2,85.5,32,High,1
Cotton,Black,Kharif,North,47,16,35,5.66,143.5,32.4,44.6,21.19,Low,0
Rice,Sandy,Kharif,Central,194,50,170,5.9,306.4,29.7,63,29.62,Moderate,1
Wheat,Loamy,Zaid,Central,218,118,268,7.05,274.2,22,63.3,31.6,High,1
Rice,Sandy,Rabi,Central,255,169,166,7.62,449.3,18.9,61.4,30.71,High,1
Cotton,Loamy,Rabi,West,88,47,58,5.48,155,32.2,37.7,20.74,Low,0
Cotton,Loamy,Zaid,South,179,93,136,6.39,259.7,29.9,42.2,33.23,Moderate,1
Cotton,Loamy,Zaid,South,114,67,40,5.49,130.7,32.2,32.3,23.32,Low,0
Sugarcane,Loamy,Rabi,North,288,110,262,6.64,335.9,21.2,69.7,33.36,High,1
Millets,Clay,Zaid,East,292,169,186,8.01,280.5,18.2,80.2,40.33,High,1
Cotton,Loamy,Zaid,South,153,100,170,6.98,269.5,29,44,33.94,Moderate,1
Rice,Loamy,Kharif,Central,91,64,154,6.25,280,28.3,42.7,32.39,Moderate,1
Cotton,Black,Rabi,North,101,99,116,6.69,269.6,23.9,67,29.97,Moderate,1
Millets,Red,Kharif,East,232,127,155,6.81,373.9,19.5,68.3,44.8,High,1
Millets,Clay,Rabi,Central,61,48,37,5.6,157.1,37.5,40,17.79,Low,0
Sugarcane,Sandy,Zaid,North,240,117,233,7.5,336.1,24,89.3,36.69,High,1
Millets,Clay,Kharif,South,168,87,75,6.91,274,25.7,59.6,31.85,Moderate,1
Sugarcane,Loamy,Zaid,Central,268,108,250,6.51,277.8,22.2,67.4,36.12,High,1
Sugarcane,Sandy,Zaid,West,78,68,50,5.14,164,37.5,27.5,21.52,Low,0
Cotton,Sandy,Rabi,East,107,34,74,5.92,138.9,35.1,37.1,17.76,Low,0
Wheat,Loamy,Zaid,West,216,142,162,7.15,269.8,21.9,89.9,31.67,High,1
Wheat,Clay,Rabi,South,42,49,77,5.07,172.4,36.6,34.6,23.7,Low,0
Maize,Clay,Kharif,North,206,163,234,6.59,302,19.7,61.3,32.87,High,1
Sugarcane,Clay,Kharif,East,97,41,72,5.53,142.7,34.3,40.3,19.4,Low,0
Millets,Clay,Zaid,Central,134,89,102,6.43,209.8,22.2,63.1,31.4,Moderate,1
Maize,Loamy,Rabi,South,281,131,210,7.22,254.3,23.8,78.8,39.61,High,1
Maize,Black,Rabi,West,287,158,165,6.86,346.9,23.5,84.7,43.36,High,1
Sugarcane,Red,Rabi,South,107,17,75,5.48,86.1,36.1,52.2,19.26,Low,0
Rice,Red,Zaid,South,100,17,64,5.67,130.1,37.5,34.6,22.8,Low,0
Cotton,Black,Rabi,Central,186,111,76,7.16,229.3,25.3,53.5,34.64,Moderate,1
Maize,Black,Rabi,East,110,62,86,6.01,198.8,28.3,71,25.69,Moderate,1
Wheat,Black,Kharif,North,116,48,28,6.29,183.9,31.3,27.7,24.04,Low,0
Millets,Clay,Zaid,East,155,58,166,7.38,269.1,28,71.3,29.82,Moderate,1
Cotton,Clay,Rabi,North,188,106,76,6.55,281.7,26.5,64.2,29.05,Moderate,1
Maize,Clay,Kharif,West,164,103,181,7.47,323.4,22.1,84.7,39.06,High,1
Maize,Black,Zaid,South,183,147,169,6.61,303.8,28,73.8,44.51,High,1
Sugarcane,Sandy,Rabi,North,46,19,28,6.3,148.8,30.4,31.4,21.8,Low,0
Sugarcane,Black,Zaid,West,163,104,121,6.69,233.5,22.9,55.3,29.86,Moderate,1
Wheat,Black,Rabi,West,226,131,244,7.92,372.4,18.1,85.4,36.67,High,1
Rice,Red,Zaid,South,70,65,34,5.93,196.8,35,34.4,26.92,Low,0
Rice,Red,Kharif,South,275,119,292,7.22,273.1,26.3,83.2,38.89,High,1
Rice,Clay,Kharif,Central,108,94,100,5.91,205.1,22.8,56.4,34.91,Moderate,1
Millets,Black,Kharif,East,110,111,74,6.7,200.6,27.6,67.8,30.06,Moderate,1
Wheat,Loamy,Kharif,Central,166,96,132,7.35,218.6,24.4,69.2,30.88,Moderate,1
Sugarcane,Sandy,Kharif,South,70,23,41,6.15,121,33.4,26.8,15.4,Low,0
Wheat,Loamy,Zaid,North,180,86,144,7.05,318.3,22.5,66.1,33.91,Moderate,1
Sugarcane,Clay,Zaid,East,298,112,287,7.12,325.3,18.4,61.2,44.39,High,1
Sugarcane,Black,Rabi,West,162,101,220,7.71,396.3,20.5,72.5,32.8,High,1
Cotton,Black,Kharif,West,246,145,292,6.54,294.8,18.8,64.2,39.8,High,1
Cotton,Red,Rabi,West,47,61,45,5.74,92.2,32.1,43,26.25,Low,0
Rice,Black,Rabi,West,198,135,263,7.95,416.9,18.2,68.5,43.97,High,1
Maize,Loamy,Zaid,North,141,94,127,5.87,287.1,28.8,51.7,23.04,Moderate,1
Millets,Black,Zaid,Central,133,60,112,7.41,294,25.6,51.4,24.85,Moderate,1
Wheat,Red,Kharif,North,122,58,159,6.18,292.9,24.8,64.3,27.03,Moderate,1
Sugarcane,Black,Kharif,East,167,153,233,7.84,440,23.8,85.2,31.68,High,1
Rice,Black,Kharif,North,200,153,220,6.85,289.2,25.5,62.8,32.84,High,1
Maize,Sandy,Kharif,Central,75,63,27,5.28,191.5,36.3,40.5,20.19,Low,0
Maize,Loamy,Rabi,West,85,36,85,6.08,150.5,34.3,30.3,18.68,Low,0
Maize,Red,Rabi,Central,175,103,86,5.96,290.4,27.1,70.2,33.96,Moderate,1
Cotton,Loamy,Kharif,East,98,60,141,6.96,247.6,29,66.6,23.19,Moderate,1
Cotton,Loamy,Zaid,East,40,38,41,5.94,133.4,35.9,28.5,18.62,Low,0
Maize,Black,Kharif,Central,113,22,64,6,79.1,35.9,47.5,23.17,Low,0
Millets,Black,Kharif,Central,122,78,70,6.76,200.8,25.2,69.1,31.73,Moderate,1
Rice,Red,Kharif,East,200,165,222,7.22,353,19.9,77.3,33.89,High,1
Maize,Sandy,Kharif,North,184,92,120,7.02,280.2,24.4,56.8,25.7,Moderate,1
Rice,Sandy,Rabi,North,222,101,193,7.89,291.5,18,88.7,33.19,High,1
Sugarcane,Clay,Kharif,Central,120,105,76,6.77,292.5,28.6,73.3,30,Moderate,1
Rice,Sandy,Zaid,East,177,167,296,6.89,362.3,26.4,65.3,35.13,High,1
Millets,Loamy,Rabi,West,57,63,60,5.1,107.8,30.9,53,16.56,Low,0
Rice,Clay,Zaid,South,189,154,215,6.86,388.1,21.5,61.2,33.98,High,1
Cotton,Loamy,Kharif,North,284,141,255,6.59,382.5,27.9,84.7,40.32,High,1
Millets,Black,Kharif,West,117,66,130,6.54,211.5,26.2,50.5,29.19,Moderate,1
Millets,Red,Zaid,East,190,132,262,7.72,389.4,18.9,81.4,35.77,High,1
Sugarcane,Black,Rabi,Central,246,136,180,7.54,386.4,19.1,76.6,40.47,High,1
Rice,Sandy,Zaid,West,94,48,58,6,98.9,33.4,53.5,23.61,Low,0
Sugarcane,Red,Rabi,Central,172,61,153,6,161.5,29.4,54.8,25.47,Moderate,1
Wheat,Black,Kharif,East,261,142,241,7.75,252.3,24,87.1,38.64,High,1
Wheat,Black,Zaid,South,296,146,292,7.79,321.2,22.7,74.2,32.15,High,1
Rice,Black,Rabi,North,84,17,45,5.53,159.9,32.8,25.6,19.32,Low,0
Maize,Sandy,Rabi,Central,142,60,82,5.81,197.7,26.9,73.6,34.21,Moderate,1
Maize,Sandy,Kharif,Central,179,144,232,7.37,324.2,19.3,78.7,44.79,High,1
Sugarcane,Loamy,Zaid,North,87,33,44,5.13,158,36.1,26.8,15.22,Low,0
Cotton,Clay,Kharif,East,76,57,61,5.13,142.3,32.3,35.6,20.73,Low,0
Millets,Black,Zaid,North,100,85,87,5.97,220,22.3,59.7,28.32,Moderate,1
Maize,Black,Rabi,North,96,54,25,5.64,195.1,38,37.1,16.55,Low,0
Millets,Sandy,Zaid,South,154,75,131,6.79,225,28.6,70.9,22.59,Moderate,1
Cotton,Sandy,Zaid,East,90,62,32,5.41,111.5,36.5,46.9,25.08,Low,0
Rice,Loamy,Zaid,Central,56,63,69,5.04,121.2,35.3,51.6,16.89,Low,0
Sugarcane,Sandy,Rabi,South,115,57,38,5.24,125.1,35.8,34.6,19.66,Low,0
Maize,Sandy,Zaid,West,190,58,103,6.7,284.6,30.6,51.2,24.86,Moderate,1
Millets,Clay,Kharif,Central,99,48,69,5.44,80.3,30.2,41.2,19.92,Low,0
Maize,Sandy,Zaid,South,60,56,84,6.08,187.9,32.1,48.4,21.09,Low,0
Millets,Black,Kharif,East,226,104,294,6.8,322,18.4,70.7,37.57,High,1
Rice,Red,Kharif,East,185,134,151,8.15,304.5,24.2,60.3,33.84,High,1
Wheat,Clay,Rabi,South,268,157,187,7.41,340.1,23.1,67.5,42.37,High,1
Millets,Sandy,Rabi,West,64,52,44,6.21,175,37.6,48.2,26.02,Low,0
Sugarcane,Black,Rabi,North,117,35,69,5.79,112.8,37.5,36.2,22.43,Low,0
Sugarcane,Clay,Rabi,Central,101,30,78,5.56,100.2,33.8,41.7,26.87,Low,0
Millets,Black,Rabi,West,54,64,30,5.2,141.6,32.9,30.9,25.77,Low,0
Sugarcane,Sandy,Zaid,West,114,64,71,5.47,112.2,33.9,46.5,26.73,Low,0
Maize,Clay,Rabi,South,149,90,155,5.8,276.1,29.7,62.7,33.69,Moderate,1
Wheat,Clay,Kharif,East,214,152,187,7.38,402.5,25.9,70.3,41.63,High,1
Sugarcane,Sandy,Zaid,East,119,53,83,7.19,272,25.4,70.1,22.97,Moderate,1
Wheat,Black,Rabi,Central,190,119,171,7.04,205.1,31.2,53.4,30.84,Moderate,1
Maize,Black,Rabi,West,99,17,31,6.24,97.1,33.3,38.9,19.38,Low,0
Wheat,Sandy,Zaid,North,293,103,182,6.97,384.1,25.9,87,39.44,High,1
Millets,Red,Kharif,South,74,69,84,5.08,123.4,35.7,32,24.1,Low,0
Millets,Loamy,Kharif,North,87,30,81,5.96,143.8,34.5,46.8,18.43,Low,0
Millets,Red,Rabi,West,129,63,143,6.55,221.4,22.6,47.1,29.82,Moderate,1
Maize,Sandy,Kharif,West,101,17,77,5.25,177.2,36.6,54.5,16.35,Low,0
Maize,Black,Rabi,East,114,75,108,7.09,165.1,31.4,44.8,23.75,Moderate,1
Wheat,Clay,Zaid,West,96,54,166,6.48,276.5,27.7,61,33.23,Moderate,1
Maize,Sandy,Rabi,Central,109,55,136,7.49,236.9,23.2,69.2,30.47,Moderate,1
Rice,Clay,Rabi,North,289,136,179,8.13,431.3,21.8,64,38.17,High,1
Maize,Black,Zaid,South,79,32,36,5.32,173.9,33.2,35.7,17.09,Low,0
Cotton,Clay,Kharif,North,182,155,180,7.24,297.8,23.7,72.9,34.42,High,1
Rice,Red,Rabi,Central,146,88,166,7.1,297.8,31.8,64.4,27.33,Moderate,1
Wheat,Black,Rabi,East,95,88,173,5.92,185.1,30,51.4,25.88,Moderate,1
Millets,Black,Zaid,North,287,136,164,7.97,337.9,24.8,63.6,44.55,High,1
Sugarcane,Red,Zaid,South,163,51,138,6.55,167.4,31.3,53.3,28.76,Moderate,1
Rice,Loamy,Rabi,West,106,21,51,5.75,161,30.7,26.8,24.16,Low,0
Sugarcane,Red,Zaid,West,174,149,246,7.06,323.6,22.9,74.4,32.79,High,1
Wheat,Red,Zaid,Central,64,18,18,5.23,196.7,32.8,51.8,21.85,Low,0
Maize,Clay,Rabi,West,225,114,200,7.4,382.1,25.2,89.2,30.78,High,1
Sugarcane,Black,Zaid,North,156,73,163,7.12,243.8,31.4,49.7,34.12,Moderate,1
Rice,Clay,Zaid,West,295,132,268,7.04,442.9,19.8,66.7,42.95,High,1
Cotton,Red,Rabi,Central,196,102,259,6.83,263.7,27.7,65,40.99,High,1
Wheat,Sandy,Kharif,North,219,133,260,7.48,430,27.2,87.2,39.75,High,1
Rice,Clay,Rabi,North,124,82,172,7.27,237.4,29.8,70.5,25.94,Moderate,1
Sugarcane,Red,Kharif,South,185,141,185,8.02,438.9,20.9,87.5,38.42,High,1
Wheat,Red,Zaid,West,165,112,273,7.76,344,18,68.6,41.09,High,1
Wheat,Black,Zaid,West,165,100,288,6.5,293.8,23.4,82.6,33,High,1
Cotton,Sandy,Rabi,South,172,128,282,6.79,301.3,18.1,64.1,40.5,High,1
Sugarcane,Red,Rabi,West,170,146,290,7.49,313.7,24.2,67.7,34.44,High,1
Sugarcane,Loamy,Rabi,Central,188,163,180,7.47,369.7,18.4,60.4,38.92,High,1
Wheat,Clay,Rabi,South,185,86,94,6.03,202.5,29,73.6,24.82,Moderate,1
Rice,Sandy,Kharif,West,185,118,171,6.43,157.9,27.6,74.9,33.46,Moderate,1
Maize,Red,Zaid,South,96,56,107,7.06,165.9,26.9,63.2,24.27,Moderate,1
Wheat,Clay,Rabi,South,194,89,179,7.31,224.5,29.8,47.1,22.36,Moderate,1
Sugarcane,Black,Zaid,West,94,85,124,5.83,274.9,22.3,51.4,34.86,Moderate,1
Wheat,Sandy,Kharif,East,176,64,124,6,201.3,29.3,69.9,33.28,Moderate,1
Wheat,Clay,Zaid,North,145,71,143,6.3,302,28.6,54.7,34.01,Moderate,1
Maize,Red,Zaid,West,285,151,176,7.36,428.9,23.6,87.9,32.67,High,1
Cotton,Clay,Zaid,South,86,18,79,5.21,126.9,31,44.5,16.16,Low,0
Maize,Black,Rabi,North,187,53,167,6.37,318.5,23.1,50.9,22.8,Moderate,1
Sugarcane,Red,Rabi,East,109,41,74,5.26,192.3,32.5,39.1,16.95,Low,0
Wheat,Sandy,Zaid,Central,45,57,72,5.86,184.3,33,44.4,21.79,Low,0
Rice,Red,Zaid,North,111,15,73,5.69,87.2,32.6,36,15.9,Low,0
Maize,Sandy,Zaid,South,277,108,237,6.63,369.4,25.2,84.2,39.31,High,1
Sugarcane,Clay,Kharif,East,115,29,49,5.69,178.6,33,25.9,22.61,Low,0
Wheat,Loamy,Kharif,North,204,134,175,7.12,443.6,23.5,85,36.89,High,1
Maize,Clay,Zaid,Central,83,21,47,6.2,84.2,37.4,51.1,18.23,Low,0
Maize,Loamy,Zaid,South,184,99,167,6.61,198.3,27.3,54.7,28.29,Moderate,1
Cotton,Loamy,Zaid,North,249,159,273,6.64,359.7,25.4,68.4,44.11,High,1
Wheat,Clay,Zaid,East,65,55,50,6.23,135.2,36.8,41.7,17.09,Low,0
Wheat,Red,Rabi,South,155,109,178,7.25,193.2,23,53.7,24.36,Moderate,1
Sugarcane,Red,Kharif,Central,119,92,130,7.27,233.4,24.8,59.3,28.55,Moderate,1
Cotton,Black,Rabi,East,97,73,83,7.22,316.5,30.8,56.8,25.95,Moderate,1
Sugarcane,Clay,Zaid,South,199,147,209,6.66,328.9,25.8,67.2,37.19,High,1
Maize,Black,Zaid,West,82,58,22,5.23,96.7,33.6,46.9,16.22,Low,0
Cotton,Loamy,Rabi,West,196,66,171,7.1,310.8,28.6,72.7,27.47,Moderate,1
Cotton,Clay,Rabi,West,223,142,256,7.46,284.3,22.1,72.2,43.7,High,1
Wheat,Loamy,Kharif,East,105,32,46,6.1,160.1,35.4,33.6,21.21,Low,0
Millets,Black,Rabi,East,171,117,131,6.63,305.2,24.2,65,24.15,Moderate,1
Wheat,Red,Rabi,East,173,146,282,7.65,309.2,20.1,62.9,36.35,High,1
Millets,Clay,Rabi,Central,87,22,53,5.05,103.8,30.3,38.9,19.79,Low,0
Cotton,Black,Kharif,North,64,31,85,6.21,165.9,35.5,44.7,22.16,Low,0
Cotton,Red,Kharif,Central,47,48,20,5.34,132.1,32,30,23.53,Low,0
Sugarcane,Loamy,Zaid,Central,190,73,150,6.02,261.9,23.8,70.4,33.31,Moderate,1
Millets,Clay,Rabi,North,97,110,75,7.36,256.3,25.2,46.7,31.72,Moderate,1
Wheat,Clay,Kharif,Central,41,18,44,5.25,200,33.2,52.7,19.31,Low,0
Rice,Black,Zaid,West,194,112,298,8.11,306.4,19.5,78.4,42.95,High,1
Cotton,Loamy,Kharif,North,275,160,295,8.16,437.6,27.6,68.6,40.62,High,1
Millets,Sandy,Kharif,South,150,106,170,7.28,206.9,27.8,59.9,32.09,Moderate,1
Cotton,Loamy,Kharif,East,48,60,63,5.18,129.3,33.9,34.1,15.68,Low,0
Rice,Sandy,Zaid,West,229,156,270,6.55,378.4,24.3,67.3,30.71,High,1
Cotton,Sandy,Kharif,West,297,117,151,6.89,407.6,21.5,84.4,37.81,High,1
Maize,Clay,Rabi,West,202,140,296,7.05,409.5,22.7,81.5,41.78,High,1
Wheat,Clay,Zaid,Central,230,167,195,7.27,403,24,83.5,30.52,High,1
Sugarcane,Sandy,Kharif,Central,209,159,186,7.42,257.3,23.3,89.2,33.02,High,1
Wheat,Black,Rabi,Central,272,138,182,6.93,375,23.8,74.6,40.82,High,1
Sugarcane,Clay,Kharif,West,208,146,273,8.05,341.3,22.3,76.6,33.54,High,1
Maize,Loamy,Rabi,Central,157,81,82,6.45,253.8,26.5,71.2,32.13,Moderate,1
Maize,Sandy,Kharif,South,245,106,155,7.15,427.6,19.5,65.5,35.06,High,1
Millets,Black,Zaid,Central,203,106,181,7.99,417.8,18.1,72.4,44.76,High,1
Maize,Red,Zaid,South,113,110,139,7.22,232.2,23.6,42.2,25.01,Moderate,1
Wheat,Black,Kharif,East,87,46,20,5.39,165.1,32.4,49.3,23.24,Low,0
Maize,Black,Rabi,South,191,72,79,7,164.9,29.7,55.8,32.05,Moderate,1
Cotton,Sandy,Kharif,East,185,73,91,6.76,181.1,29.4,69.2,33.27,Moderate,1
Sugarcane,Loamy,Rabi,East,94,111,136,7.04,239.2,22.7,68.3,32.87,Moderate,1
Wheat,Clay,Rabi,South,178,104,154,7.39,151.9,22.3,67.1,23.52,Moderate,1
Cotton,Red,Zaid,East,191,57,81,7.01,253.4,26.8,64.2,26.51,Moderate,1
Cotton,Black,Rabi,Central,57,45,22,6.22,173,31.3,46.5,23.86,Low,0
Millets,Loamy,Zaid,East,257,124,168,7.05,306.9,22.5,79.7,40.97,High,1
Millets,Loamy,Kharif,South,121,94,113,7.1,220.7,26.4,61.7,22.03,Moderate,1
Rice,Loamy,Rabi,East,227,147,242,7.92,330,18,86.1,36.6,High,1
Sugarcane,Loamy,Zaid,West,89,23,80,5.14,94.9,37.5,49.7,22.04,Low,0
Rice,Sandy,Zaid,North,71,26,41,5.12,125.4,36.1,40.3,18.7,Low,0
Rice,Loamy,Kharif,West,253,161,296,8.07,303.6,26.5,77.6,38.57,High,1
Sugarcane,Clay,Kharif,West,182,56,120,7.44,206.7,23.8,46.2,23.56,Moderate,1
Wheat,Clay,Kharif,Central,108,51,55,5.46,84.3,31,29.4,20.94,Low,0
Rice,Sandy,Kharif,South,185,90,174,6.75,284.2,25,60.4,31,Moderate,1
Wheat,Sandy,Kharif,North,175,75,93,7.1,228.4,30.3,62.6,23.37,Moderate,1
Wheat,Clay,Zaid,South,55,47,89,5.92,85.8,36.6,33.8,15.16,Low,0
Cotton,Red,Rabi,South,87,27,62,5.06,103.3,33.3,32.2,25.18,Low,0
Cotton,Black,Kharif,North,65,35,36,5.68,80.6,32.3,53.5,16.67,Low,0
Sugarcane,Clay,Kharif,West,94,102,146,6.54,180.6,31.5,61.7,34.61,Moderate,1
Sugarcane,Loamy,Rabi,East,54,48,88,5.97,110.2,32.5,50.1,22.81,Low,0
Cotton,Clay,Kharif,South,261,146,155,7.5,330.6,25.3,76.6,43.54,High,1
Rice,Red,Zaid,Central,129,64,130,6.23,233.9,23.5,73.3,29.59,Moderate,1
Sugarcane,Loamy,Zaid,Central,195,80,70,6.68,176.7,31.8,58,26.97,Moderate,1
Sugarcane,Sandy,Rabi,West,49,36,78,5.52,153.7,34.6,27.2,23.7,Low,0
Rice,Clay,Rabi,East,116,24,31,5.06,84,32.7,25,21.65,Low,0
Rice,Clay,Kharif,South,187,91,149,5.96,154.2,23.2,53.1,22.35,Moderate,1
Rice,Clay,Rabi,Central,75,67,40,5.15,184.7,31.1,33.2,22.07,Low,0
Rice,Red,Zaid,Central,180,118,169,6.85,176.1,25.9,67.2,29.68,Moderate,1
Millets,Black,Rabi,North,238,127,215,7.67,448.6,26.1,79.6,39.28,High,1
Millets,Loamy,Rabi,East,179,99,73,7.42,187.7,24.6,54.4,26.37,Moderate,1
Rice,Red,Zaid,East,75,21,43,6.18,114.8,33.8,28.7,23.32,Low,0
Maize,Loamy,Zaid,West,109,22,81,5.69,101.7,33.9,42.9,17.21,Low,0
Wheat,Sandy,Kharif,East,60,55,88,5.31,157.7,37.6,29.2,18.29,Low,0
Wheat,Clay,Zaid,West,119,16,25,6.14,154.7,30.3,44.6,17.34,Low,0
Maize,Clay,Rabi,East,48,25,59,5.17,152.1,31.9,42.4,21.76,Low,0
Wheat,Sandy,Zaid,East,193,108,116,6.89,227.9,23.9,47.6,29.98,Moderate,1
Wheat,Black,Rabi,Central,152,83,98,6.16,160.6,24.4,65.3,32.11,Moderate,1
Rice,Black,Zaid,South,76,41,32,5.19,164,36.5,37.9,25.77,Low,0
Millets,Clay,Zaid,Central,90,31,55,5.5,172.9,31.5,42.3,25.87,Low,0
Rice,Sandy,Rabi,Central,167,78,91,6.35,163.2,25.5,59.9,32.73,Moderate,1
Wheat,Red,Rabi,South,77,31,17,5.81,103,31.4,46.5,16.23,Low,0
Millets,Loamy,Zaid,Central,235,136,168,7.15,437.4,22.4,61,37.83,High,1
Sugarcane,Clay,Zaid,West,297,127,251,7.3,321.9,18.9,72.6,34.94,High,1
Sugarcane,Clay,Zaid,North,64,48,57,5.72,191,37.2,51.2,25.7,Low,0
Cotton,Black,Rabi,Central,162,58,90,6.6,271.8,29.4,69,22.66,Moderate,1
Wheat,Loamy,Rabi,South,247,119,234,8.18,326.4,19.1,82.2,36.09,High,1
Wheat,Red,Kharif,South,110,53,45,5.46,177.1,30.9,32.4,21.43,Low,0
Maize,Red,Rabi,Central,210,124,240,6.72,252.4,27.5,77,36.94,High,1
Millets,Clay,Kharif,Central,101,41,62,5.02,175.7,33.2,39.6,24.71,Low,0
Rice,Black,Kharif,South,81,46,68,5.22,109.7,37.1,53.4,18.37,Low,0
Millets,Clay,Rabi,East,289,164,285,6.8,395.4,20.6,73.8,38.76,High,1
Rice,Clay,Zaid,West,78,31,59,5.67,173,37.9,50.9,18.83,Low,0
Maize,Black,Zaid,Central,100,84,152,6.49,286.2,27.2,64.5,33.29,Moderate,1
Sugarcane,Black,Zaid,Central,182,94,95,5.83,309.4,24.3,51.6,25.37,Moderate,1
Cotton,Loamy,Rabi,Central,43,26,16,5.35,114.2,33.7,51.7,26.18,Low,0
Maize,Red,Zaid,East,74,40,35,5.15,92.4,34.3,26.7,20.93,Low,0
Sugarcane,Red,Kharif,South,162,60,93,5.92,311.8,28.3,57.6,29.78,Moderate,1
Wheat,Clay,Kharif,South,113,69,55,5.7,140.6,34.1,54.4,19.65,Low,0
Rice,Sandy,Kharif,West,210,146,257,7.02,325.8,21.8,71.1,43.62,High,1
Cotton,Loamy,Rabi,West,242,124,186,7.28,415.1,22,86.9,42.11,High,1
Cotton,Clay,Zaid,South,95,96,88,6.2,319.8,27,50.3,25.44,Moderate,1
Rice,Clay,Kharif,West,215,162,267,8.13,324.5,18.9,88.4,39.61,High,1
Wheat,Clay,Rabi,South,63,57,38,5.99,113.6,36.5,49.8,26.48,Low,0
Sugarcane,Black,Kharif,East,160,57,130,6.34,251.9,22.5,52.5,32.85,Moderate,1
Maize,Clay,Kharif,North,97,40,48,5.95,112.3,34,37.1,15.35,Low,0
Millets,Black,Kharif,North,56,65,15,5.27,128.1,33.6,42.7,26.77,Low,0
Wheat,Sandy,Kharif,North,51,33,37,6.26,104.3,36.9,41.6,16.07,Low,0
Wheat,Clay,Kharif,South,132,92,110,5.85,199,31.2,41.4,30.92,Moderate,1
Cotton,Sandy,Rabi,South,278,128,278,7.96,324.1,20.9,80.5,30.08,High,1
Millets,Red,Kharif,East,78,36,52,5.23,167.6,36.3,43.7,21.54,Low,0
Millets,Loamy,Kharif,West,177,122,229,6.77,375.6,25.7,85.6,39.79,High,1
Wheat,Sandy,Kharif,Central,156,87,72,7.39,236.4,25.3,60.2,34.79,Moderate,1
Wheat,Red,Rabi,Central,97,21,89,6.09,143.6,34.1,27.3,24.71,Low,0
Millets,Black,Rabi,East,217,117,286,7.41,339.9,22.5,83.5,40.08,High,1
Wheat,Sandy,Rabi,West,42,41,60,6,175,30.3,36.1,25.33,Low,0
Maize,Loamy,Rabi,North,116,79,145,6.14,242.5,25.8,64.9,34.22,Moderate,1
Sugarcane,Clay,Rabi,West,81,18,36,5.59,139.6,35.7,42,21.43,Low,0
Millets,Red,Zaid,South,67,55,74,6.13,165.4,30.4,51.2,17.36,Low,0
